Sample in Buffer,Sample in Window,TRIGGER,BRAM_SPI_i/receiver_0/inst/data_in_to_device[31:0]
543,543,0,847fffff
544,544,0,fb847ffb
545,545,0,fb80047f
546,546,0,847fffff
547,547,0,fb847ffb
548,548,0,f980067f
549,549,0,867fffff
550,550,0,f9867ff9
551,551,0,f980067f
552,552,0,867fffff
553,553,0,f9867ff9
554,554,0,f980067f
555,555,0,867fffff
556,556,0,f9867ff9
557,557,0,f880067f
558,558,0,877fffff
559,559,0,f8877ff8
560,560,0,f880077f
561,561,0,877fffff
562,562,0,f8877ff8
563,563,0,ff88007f
564,564,0,f8877fff
565,565,0,7ff9877f
566,566,0,ffff9800
567,567,0,7ff8877f
568,568,0,8047ff88
569,569,0,77fffff8
570,570,0,f887ff88
571,571,0,fb80067f
572,572,0,807fffff
573,573,0,ff807fff
574,574,0,ff80007f
575,575,0,807fffff
576,576,0,ff807fff
577,577,0,ff88007f
578,578,0,f8877fff
579,579,0,7ffb847f
580,580,0,ffff8000
581,581,0,ff807fff
582,582,0,7fff807f
583,583,0,fffb8004
584,584,0,fb847fff
585,585,0,7ffb847f
586,586,0,fffb8004
587,587,0,fb867fff
588,588,0,07ff9877
589,589,0,fffff880
590,590,0,7ff9867f
591,591,0,047ffb86
592,592,0,fffffb80
593,593,0,7ffb847f
594,594,0,067ffb84
595,595,0,fffff980
596,596,0,7ff9867f
597,597,0,067ff986
598,598,0,fffff980
599,599,0,7ff9867f
600,600,0,067ff986
601,601,0,fffff980
602,602,0,7ff9867f
603,603,0,077ff987
604,604,0,fffff880
605,605,0,7ff8877f
606,606,0,077ff887
607,607,0,fffff880
608,608,0,7ff8877f
609,609,0,077ff887
610,610,0,fffff880
611,611,0,7ff8877f
612,612,0,077ff887
613,613,0,fffff880
614,614,0,7ff8877f
615,615,0,067ff986
616,616,0,fffff880
617,617,0,7ff8877f
618,618,0,077ff887
619,619,0,fffff880
620,620,0,7ff8877f
621,621,0,077ff986
622,622,0,fffff880
623,623,0,7ff8877f
624,624,0,077ff887
625,625,0,fffff880
626,626,0,7ff8877f
627,627,0,077ff887
628,628,0,fffff880
629,629,0,7ff8877f
630,630,0,077ff887
631,631,0,fffff880
632,632,0,7ff8877f
633,633,0,077ff986
634,634,0,fffff880
635,635,0,7ff8877f
636,636,0,077ff986
637,637,0,fffff880
638,638,0,7ff8877f
639,639,0,077ff887
640,640,0,fffff880
641,641,0,7ff8877f
642,642,0,077ff887
643,643,0,fffff880
644,644,0,7ff8877f
645,645,0,077ff887
646,646,0,fffff880
647,647,0,7ff8877f
648,648,0,077ff887
649,649,0,fffff880
650,650,0,7ff8877f
651,651,0,077ff887
652,652,0,fffff880
653,653,0,7ff8877f
654,654,0,077ff887
655,655,0,fffff880
656,656,0,77f9867f
657,657,0,0047ff88
658,658,0,7ffffff8
659,659,0,877ff887
660,660,0,80077ff8
661,661,0,7ffffff8
662,662,0,887ff987
663,663,0,f80047ff
664,664,0,877fffff
665,665,0,f9867ff8
666,666,0,f980067f
667,667,0,867fffff
668,668,0,f9867ff9
669,669,0,f980067f
670,670,0,867fffff
671,671,0,f9867ff9
672,672,0,f980067f
673,673,0,877fffff
674,674,0,f8877ff8
675,675,0,f880077f
676,676,0,877fffff
677,677,0,f9877ff8
678,678,0,ff98007f
679,679,0,f8877fff
680,680,0,7ff8877f
681,681,0,fff98006
682,682,0,f9867fff
683,683,0,7ff9867f
684,684,0,fff98006
685,685,0,f9867fff
686,686,0,7ff9867f
687,687,0,fff98006
688,688,0,f9867fff
689,689,0,7ff9867f
690,690,0,ffff8000
691,691,0,f9847fff
692,692,0,7ff9867f
693,693,0,fff98006
694,694,0,f8877fff
695,695,0,7ff8877f
696,696,0,fff88007
697,697,0,f8877fff
698,698,0,7ff8877f
699,699,0,fff88007
700,700,0,f8877fff
701,701,0,7ff8877f
702,702,0,fff88007
703,703,0,f8877fff
704,704,0,7ff8877f
705,705,0,fff98006
706,706,0,f8877fff
707,707,0,7ff8877f
708,708,0,fff88007
709,709,0,f8877fff
710,710,0,7ff9867f
711,711,0,fff88006
712,712,0,f8877fff
713,713,0,7ff8877f
714,714,0,fff88007
715,715,0,f8877fff
716,716,0,7ff8877f
717,717,0,fff88007
718,718,0,f8877fff
719,719,0,7ff8877f
720,720,0,fff88007
721,721,0,f8877fff
722,722,0,7ff9867f
723,723,0,fff88007
724,724,0,f8877fff
725,725,0,7ff8877f
726,726,0,fff88007
727,727,0,f8877fff
728,728,0,7ff9867f
729,729,0,ffff8006
730,730,0,7ff847ff
731,731,0,077ff887
732,732,0,fffff880
733,733,0,7ff9867f
734,734,0,067ff986
735,735,0,fffff980
736,736,0,7ff9877f
737,737,0,077ff987
738,738,0,fffff880
739,739,0,7ff8877f
740,740,0,077ff887
741,741,0,fffff880
742,742,0,7ff8877f
743,743,0,077ff887
744,744,0,fffff880
745,745,0,7ff8877f
746,746,0,077ff887
747,747,0,fffff880
748,748,0,7ff8877f
749,749,0,077ff887
750,750,0,fffff880
751,751,0,7ff8877f
752,752,0,077ff887
753,753,0,fffff880
754,754,0,7ff8877f
755,755,0,077ff887
756,756,0,fffff880
757,757,0,7ff8877f
758,758,0,077ff887
759,759,0,fffff880
760,760,0,7ff8877f
761,761,0,077ff887
762,762,0,fffff880
763,763,0,7ff8877f
764,764,0,077ff887
765,765,0,fffff880
766,766,0,7ff8877f
767,767,0,077ff887
768,768,0,fffff880
769,769,0,7ff8877f
770,770,0,077ff887
771,771,0,fffff880
772,772,0,7ff8877f
773,773,0,077ff887
774,774,0,fffff880
775,775,0,7ff8877f
776,776,0,077ff887
777,777,0,fffff880
778,778,0,7ff8877f
779,779,0,067ff887
780,780,0,fffff880
781,781,0,7ff8877f
782,782,0,077ff887
783,783,0,fffff880
784,784,0,7ff8877f
785,785,0,067ff887
786,786,0,fffff980
787,787,0,7ff8877f
788,788,0,077ff887
789,789,0,fffff880
790,790,0,7ff8877f
791,791,0,077ff887
792,792,0,fffff880
793,793,0,7ff8877f
794,794,0,077ff887
795,795,0,fffff880
796,796,0,7ff8877f
797,797,0,077ff887
798,798,0,fffff880
799,799,0,7ff8877f
800,800,0,077ff887
801,801,0,fffff880
802,802,0,7ff8877f
803,803,0,077ff887
804,804,0,fffff880
805,805,0,7ff8877f
806,806,0,077ff986
807,807,0,fffff880
808,808,0,7ff8877f
809,809,0,077ff887
810,810,0,fffff880
811,811,0,7ff8877f
812,812,0,077ff887
813,813,0,fffff880
814,814,0,7ff8877f
815,815,0,077ff887
816,816,0,fffff980
817,817,0,7ff8877f
818,818,0,007ff987
819,819,0,ffffff98
820,820,0,877ff887
821,821,0,980077f9
822,822,0,877fffff
823,823,0,f9877ff8
824,824,0,f980067f
825,825,0,867fffff
826,826,0,fb867ff9
827,827,0,ff980077
828,828,0,f9877fff
829,829,0,47ff887f
830,830,0,ffff9800
831,831,0,ff8877ff
832,832,0,7fff807f
833,833,0,fffb8000
834,834,0,fb847fff
835,835,0,7ffb847f
836,836,0,fffb8004
837,837,0,fb867fff
838,838,0,07ff9877
839,839,0,fffff880
840,840,0,77fb867f
841,841,0,0007ff88
842,842,0,ffffffb8
843,843,0,7fff8077
844,844,0,047fff80
845,845,0,fffffb80
846,846,0,7ffb847f
847,847,0,067ff986
848,848,0,fffff980
849,849,0,7ff9867f
850,850,0,067ff986
851,851,0,fffff980
852,852,0,77f9867f
853,853,0,8047ff88
854,854,0,7ffffff8
855,855,0,8877f987
856,856,0,f88047ff
857,857,0,867fffff
858,858,0,ff9877fb
859,859,0,fff88007
860,860,0,fb847fff
861,861,0,47ff887f
862,862,0,fffff880
863,863,0,7ffb847f
864,864,0,007fff80
865,865,0,ffffff80
866,866,0,7fff807f
867,867,0,007fff80
868,868,0,ffffff80
869,869,0,67ff847f
870,870,0,80077fb8
871,871,0,7ffffff8
872,872,0,b877ff84
873,873,0,f980077f
874,874,0,f867ffff
875,875,0,77f9877f
876,876,0,ffffb800
877,877,0,7ffb847f
878,878,0,0077ff80
879,879,0,ffffff88
880,880,0,77ff8877
881,881,0,0077ff88
882,882,0,ffffff88
883,883,0,7fff807f
884,884,0,007fff80
885,885,0,ffffff80
886,886,0,7fff807f
887,887,0,047ffb84
888,888,0,fffffb80
889,889,0,7ffb847f
890,890,0,067ffb84
891,891,0,fffff980
892,892,0,7ff9867f
893,893,0,067ff986
894,894,0,fffff980
895,895,0,7ff9867f
896,896,0,067ff986
897,897,0,fffff980
898,898,0,7ff9867f
